,heart_rate,blood_pressure_systolic,blood_pressure_diastolic,temperature,oxygen_saturation,respiratory_rate
2025-09-19 09:03:35.222849,56.51142159362945,100.77117390426893,76.2231288876817,35.93525535926649,97.20294036459183,14.578084070929984
2025-09-19 09:13:35.222849,89.26771107047539,146.80314314850398,90.46555670109984,,,13.268165695949907
2025-09-19 09:23:35.222849,74.79507375886304,116.94815088933461,79.4433184474419,35.0,98.3165964936853,17.465456819572236
2025-09-19 09:33:35.222849,83.65686964650656,109.34459462463369,,,98.54158453008542,7.945841546991458
2025-09-19 09:43:35.222849,,117.8598151398941,63.102732442001106,37.3335269789901,100.0,21.419363473591577
2025-09-19 09:53:35.222849,73.67092526945314,109.96910120892217,86.44419024919506,37.95936999391055,98.79595477310484,
2025-09-19 10:03:35.222849,72.17349562844976,,76.91717414570621,37.903125061740575,99.56554859158626,16.985996997686293
2025-09-19 10:13:35.222849,101.11221830009009,105.43338016462081,74.16385249554602,37.96017863681899,99.7103490943444,15.318870444420709
2025-09-19 10:23:35.222849,83.5926621567529,130.60156989608936,110.80054524819316,38.43263305744917,97.96054617663279,18.252455685350352
2025-09-19 10:33:35.222849,80.96944329798865,126.64412635068707,82.45574070385888,38.277535087756185,98.41378646312491,19.325314958905118
2025-09-19 10:43:35.222849,,117.64865271536016,65.53280049207518,39.2583347850295,98.83970307736745,20.09495108428585
2025-09-19 10:53:35.222849,,157.7810512017115,103.33092021914116,39.10763507884613,99.6291239389389,17.764574193653203
2025-09-19 11:03:35.222849,70.33122423247168,113.95091092360545,95.98470077729971,38.749889730960334,100.0,20.2977106560149
2025-09-19 11:13:35.222849,,106.82014183278764,100.62552801413845,,100.0,18.27479946250497
2025-09-19 11:23:35.222849,93.7489646858504,116.11602968577266,,39.26009307851427,99.89202024450049,16.622168662129887
2025-09-19 11:33:35.222849,85.19275626135565,118.6151101399524,79.39459963159423,40.10507678960755,100.0,16.055306024152433
2025-09-19 11:43:35.222849,88.20606218203194,161.28299969411106,95.57051319949692,39.860324979745215,100.0,19.921284269070327
2025-09-19 11:53:35.222849,99.65997434242274,141.60327091784617,70.00167094639816,39.51197692394364,93.30039257886929,20.402784793828737
2025-09-19 12:03:35.222849,98.19365435371661,139.44942233749407,78.86945276816469,39.845696029787256,100.0,21.170809885913446
2025-09-19 12:13:35.222849,80.5087236208322,138.6063126775355,84.41126598144619,,100.0,16.461595981375208
2025-09-19 12:23:35.222849,90.33967856569096,130.2531582537674,110.42457102368337,40.32910699306764,100.0,13.83485644735968
2025-09-19 12:33:35.222849,89.50039637661494,132.66104107386278,81.49070979401466,40.181622379846,100.0,20.430905723879796
2025-09-19 12:43:35.222849,111.68982685057071,118.29923633316716,79.43178066274541,,100.0,20.72064955500091
